Country,City,Latitude,Long,Temperature(°F),Humidity %,Cloudiness %,Wind Speed(mph),Date
ZA,Port Alfred,-33.5906,26.891,65.3,87,47,2.57,10/23/22 22:23:52
PE,Paita,-5.0892,-81.1144,62.28,85,98,11.48,10/23/22 22:32:08
EC,Puerto Ayora,-0.7393,-90.3518,66.54,88,81,5.99,10/23/22 22:24:49
SB,Kirakira,-10.4544,161.9205,81.37,82,71,6.08,10/23/22 22:24:58
ID,Denpasar,-8.65,115.2167,85.71,79,40,10.36,10/23/22 22:28:24
KI,Butaritari,3.0707,172.7902,81.37,76,20,10.27,10/23/22 22:24:00
US,Jamestown,42.097,-79.2353,58.59,68,0,4.61,10/23/22 22:24:11
AU,Busselton,-33.65,115.3333,64.99,67,15,19.3,10/23/22 22:24:36
PF,Rikitea,-23.1203,-134.9692,72.86,83,57,11.86,10/23/22 22:20:00
CA,Tuktoyaktuk,69.4541,-133.0374,17.6,79,75,4.61,10/23/22 22:32:21
UG,Kalangala,-0.3089,32.225,67.35,75,56,10.69,10/23/22 22:32:23
CA,Yellowknife,62.456,-114.3525,28.92,93,100,6.91,10/23/22 22:23:45
AR,Ushuaia,-54.8,-68.3,40.66,93,0,4.61,10/23/22 22:21:37
AU,Hobart,-42.8794,147.3294,56.26,68,75,11.5,10/23/22 22:22:20
CN,Zhuanghe,39.7008,122.9911,56.08,33,10,7.47,10/23/22 22:32:30
CA,Thompson,55.7435,-97.8558,30.36,69,100,13.8,10/23/22 22:30:30
ZA,Kruisfontein,-34.0033,24.7314,59.88,94,40,2.39,10/23/22 22:32:33
NP,Jumla,29.2747,82.1838,59.29,37,0,3.74,10/23/22 22:32:34
FR,Saint-Junien,45.8833,0.9,59.58,87,74,4.43,10/23/22 22:32:36
BR,Monte Azul Paulista,-20.9072,-48.6414,70.74,49,24,5.95,10/23/22 22:32:38
RU,Pevek,69.7008,170.3133,14.14,95,100,2.48,10/23/22 22:24:39
MV,Hithadhoo,-0.6,73.0833,81.9,72,42,7.11,10/23/22 22:32:41
CD,Inongo,-1.95,18.2667,70.81,98,100,2.82,10/23/22 22:32:43
PF,Faanui,-16.4833,-151.75,79.52,74,17,8.7,10/23/22 22:32:45
ZA,Cape Town,-33.9258,18.4232,65.91,78,1,5.99,10/23/22 22:19:27
CK,Avarua,-21.2078,-159.775,75.25,94,75,5.75,10/23/22 22:23:35
IN,Kattivākkam,13.2167,80.3167,80.69,51,81,7.49,10/23/22 22:32:50
CA,Marystown,47.1666,-55.1483,53.47,78,99,8.77,10/23/22 22:25:32
US,Barrow,71.2906,-156.7887,24.82,86,100,21.85,10/23/22 22:21:13
US,Albany,42.6001,-73.9662,53.46,83,100,1.61,10/23/22 22:24:17
RU,Yar-Sale,66.8333,70.8333,29.95,96,100,4.76,10/23/22 22:32:56
MN,Mandalgovi,45.7625,106.2708,50.92,28,0,15.48,10/23/22 22:32:57
PT,Barcelos,41.5388,-8.6151,60.94,95,80,6.4,10/23/22 22:32:59
ZA,Hermanus,-34.4187,19.2345,61.81,85,45,10.78,10/23/22 22:23:14
ML,Tessalit,20.1986,1.0114,72.0,24,100,13.27,10/23/22 22:33:02
RE,Saint-Philippe,-21.3585,55.7679,72.99,80,44,7.63,10/23/22 22:23:10
GL,Qaanaaq,77.484,-69.3632,20.37,93,100,1.86,10/23/22 22:24:38
AU,Yulara,-25.2406,130.9889,85.37,27,0,7.02,10/23/22 22:33:07
US,Great Falls,47.5002,-111.3008,34.16,98,100,14.97,10/23/22 22:33:09
RU,Tsimmerbude,54.675,20.1347,48.25,94,94,7.18,10/23/22 22:33:11
MX,Celestún,20.8667,-90.4,74.77,84,7,15.32,10/23/22 22:33:13
IT,Laas,46.6166,10.7002,58.08,96,98,4.05,10/23/22 22:33:15
ZA,Bredasdorp,-34.5322,20.0403,61.63,91,60,6.15,10/23/22 22:33:17
CL,Constitución,-35.3333,-72.4167,46.38,76,0,6.22,10/23/22 22:33:18
GB,Thurso,58.5927,-3.5259,53.85,96,100,18.79,10/23/22 22:33:20
PF,Tiarei,-17.5333,-149.3333,78.53,75,13,7.78,10/23/22 22:33:22
LY,Nālūt,30.3333,10.85,62.78,39,0,7.76,10/23/22 22:33:24
VE,Upata,8.0086,-62.3989,74.19,97,100,3.83,10/23/22 22:33:26
CL,Punta Arenas,-53.15,-70.9167,44.71,70,0,16.11,10/23/22 22:23:49
RU,Provideniya,64.3833,-173.3,28.51,69,75,2.24,10/23/22 22:25:09
BO,Santa Cruz de la Sierra,-17.8,-63.1667,71.06,83,56,4.61,10/23/22 22:32:01
PT,Lata,40.1629,-8.3327,58.08,94,49,4.32,10/23/22 22:33:33
PH,Dingle,10.9995,122.6711,87.69,66,100,7.7,10/23/22 22:33:34
US,Safford,32.834,-109.7076,59.92,63,100,13.8,10/23/22 22:33:36
NC,Poum,-20.2333,164.0167,77.4,82,28,25.26,10/23/22 22:33:38
MU,Souillac,-20.5167,57.5167,71.98,88,75,3.44,10/23/22 22:33:39
IS,Grindavik,63.8424,-22.4338,43.27,81,75,20.71,10/23/22 22:33:41
VE,San Cristobal,7.7669,-72.225,71.78,95,70,1.79,10/23/22 22:33:43
US,Mattawa,46.7379,-119.9028,49.26,49,53,3.0,10/23/22 22:33:19
ML,Araouane,18.9048,-3.5265,78.71,15,97,10.8,10/23/22 22:33:46
AU,Batemans Bay,-35.7167,150.1833,66.09,98,100,11.48,10/23/22 22:33:48
AR,Bell Ville,-32.6259,-62.6887,60.67,57,4,8.93,10/23/22 22:33:50
ES,Cervo,43.6702,-7.4101,60.55,73,23,13.91,10/23/22 22:33:52
US,Kapaa,22.0752,-159.319,80.1,79,75,13.8,10/23/22 22:25:05
IN,Joshīmath,30.5667,79.5667,64.35,30,0,3.96,10/23/22 22:33:55
RU,Vostok,46.4856,135.8833,37.33,48,18,6.62,10/23/22 22:33:56
JP,Sekichō-furumaya,34.85,136.4,68.92,44,7,10.85,10/23/22 22:33:58
RU,Yerbogachën,61.2767,108.0108,30.18,63,100,21.72,10/23/22 22:34:00
HK,Hong Kong,22.2855,114.1577,83.97,71,16,10.0,10/23/22 22:30:14
ZM,Kaoma,-14.7833,24.8,63.21,77,70,4.36,10/23/22 22:34:04
JP,Kushiro,42.975,144.3747,50.95,62,75,13.8,10/23/22 22:34:05
IS,Husavik,66.0449,-17.3389,31.55,77,100,8.61,10/23/22 22:34:07
CA,Torbay,47.6666,-52.7314,52.57,92,20,8.05,10/23/22 22:34:09
MY,George Town,5.4112,100.3354,87.73,77,40,4.61,10/23/22 22:29:30
CA,Norman Wells,65.282,-126.8329,24.84,93,100,2.3,10/23/22 22:34:12
CA,Iqaluit,63.7506,-68.5145,29.93,80,75,12.66,10/23/22 22:34:14
RU,Sovetskiy,61.3614,63.5842,34.29,77,100,13.33,10/23/22 22:34:16
MU,Bambous Virieux,-20.3428,57.7575,73.22,88,75,3.44,10/23/22 22:24:55
UA,Kosmach,48.7509,24.3673,46.54,87,77,5.32,10/23/22 22:34:19
SN,Matam,15.6175,-13.3303,82.4,65,40,6.91,10/23/22 22:34:21
CA,Senneterre,48.3835,-77.2328,51.17,90,46,5.41,10/23/22 22:34:23
RU,Umba,66.6871,34.3429,35.06,85,77,14.54,10/23/22 22:34:25
AU,Kiama,-34.6833,150.8667,66.58,95,100,1.01,10/23/22 22:34:27
RU,Lavrentiya,65.5833,-171.0,29.05,88,65,6.17,10/23/22 22:34:28
PR,Arecibo,18.4724,-66.7157,80.01,89,16,7.58,10/23/22 22:34:30
RU,Kovylkino,54.0388,43.9139,41.45,92,100,13.53,10/23/22 22:34:33
US,Payson,40.0444,-111.7321,34.92,90,100,16.11,10/23/22 22:34:35
US,Brigantine,39.4101,-74.3646,60.03,96,100,10.36,10/23/22 22:34:37
BR,Arraial do Cabo,-22.9661,-42.0278,71.26,79,92,4.29,10/23/22 22:25:01
NZ,Tuatapere,-46.1333,167.6833,50.49,60,91,6.08,10/23/22 22:34:40
PL,Toruń,53.0137,18.5981,50.7,99,100,1.01,10/23/22 22:33:00
TO,Vaini,-21.2,-175.2,77.16,65,20,14.97,10/23/22 22:34:43
NG,Bama,11.5221,13.6856,77.49,61,92,6.33,10/23/22 22:34:44
TZ,Kilindoni,-7.9139,39.6668,77.05,75,9,8.55,10/23/22 22:34:46
SA,Najrān,17.4924,44.1277,61.45,29,0,1.3,10/23/22 22:34:48
PF,Atuona,-9.8,-139.0333,77.04,75,3,17.45,10/23/22 22:34:49
NZ,Bluff,-46.6,168.3333,48.45,55,90,14.09,10/23/22 22:34:51
CA,Ucluelet,48.9329,-125.5528,50.09,91,100,5.01,10/23/22 22:34:53
AU,Carnarvon,-24.8667,113.6333,71.02,58,24,16.75,10/23/22 22:34:55
MX,Guerrero Negro,27.9769,-114.0611,67.73,77,1,16.73,10/23/22 22:34:56
AR,Puerto Madryn,-42.7692,-65.0385,65.46,24,20,11.95,10/23/22 22:34:58
RU,Svetlaya,46.5389,138.3297,43.16,45,2,6.17,10/23/22 22:35:00
PT,Ribeira Grande,38.5167,-28.7,62.78,80,46,7.0,10/23/22 22:25:16
CN,Yumen,40.2833,97.2,59.13,18,4,2.82,10/23/22 22:35:03
CN,Songyuan,45.1171,124.8568,46.99,29,2,3.33,10/23/22 22:35:05
CN,Xuzhou,34.1805,117.1571,72.46,25,28,5.84,10/23/22 22:35:07
BR,São João da Barra,-21.6403,-41.0511,70.21,88,90,4.99,10/23/22 22:35:09
BR,Terra Santa,-2.1042,-56.4869,79.2,68,27,2.19,10/23/22 22:35:10
US,Kahului,20.8947,-156.47,82.42,70,40,21.85,10/23/22 22:34:40
ZA,Springbok,-29.6643,17.8865,53.87,78,41,3.02,10/23/22 22:35:14
JP,Nara,34.6851,135.8049,67.96,40,31,9.64,10/23/22 22:35:15
RU,Dikson,73.5069,80.5464,28.18,77,100,22.88,10/23/22 22:35:17
GF,Iracoubo,5.4802,-53.2011,80.11,86,84,11.18,10/23/22 22:35:19
AL,Durrës,41.3231,19.4414,51.98,64,0,3.6,10/23/22 22:35:21
AU,New Norfolk,-42.7826,147.0587,56.91,74,99,3.0,10/23/22 22:35:23
US,Sitka,57.0531,-135.33,48.09,57,100,12.66,10/23/22 22:33:56
GL,Tasiilaq,65.6145,-37.6368,32.16,99,100,4.32,10/23/22 22:25:27
MX,Nicolás Bravo,18.45,-88.9167,68.9,96,0,1.86,10/23/22 22:35:28
ZA,Saldanha,-33.0117,17.9442,57.25,93,37,10.71,10/23/22 22:35:30
RU,Vakhtan,57.9659,46.6889,40.21,94,100,10.51,10/23/22 22:35:32
US,Eureka,40.8021,-124.1637,53.92,85,6,8.01,10/23/22 22:35:33
KZ,Borovskoy,53.8,64.15,28.85,67,8,11.97,10/23/22 22:35:35
AR,Bermejo,-32.8833,-68.8,66.11,45,1,2.3,10/23/22 22:35:37
ZA,East London,-33.0153,27.9116,65.34,94,40,3.44,10/23/22 22:35:39
US,Carbondale,37.7273,-89.2168,70.09,56,0,12.66,10/23/22 22:34:25
RU,Cherskiy,68.75,161.3,6.26,97,92,6.35,10/23/22 22:35:42
AU,Mount Isa,-20.7333,139.5,100.15,17,23,23.71,10/23/22 22:35:43
HN,Santa Rosa de Aguán,15.95,-85.7167,76.98,88,2,6.08,10/23/22 22:35:45
IS,Vestmannaeyjar,63.4427,-20.2734,44.15,81,100,19.86,10/23/22 22:35:47
SO,Mogadishu,2.0371,45.3438,78.67,78,40,8.05,10/23/22 22:35:49
MR,Adrar,20.5022,-10.0711,79.03,16,26,10.65,10/23/22 22:35:50
ES,Calatayud,41.3535,-1.6432,57.92,83,98,5.64,10/23/22 22:34:20
RU,Tiksi,71.6872,128.8694,21.15,95,98,7.76,10/23/22 22:35:53
BR,Pacatuba,-3.9842,-38.6203,79.97,91,26,3.76,10/23/22 22:35:55
BR,Vilhena,-12.7406,-60.1458,69.22,97,89,2.53,10/23/22 22:35:57
ZA,Plettenberg Bay,-34.0527,23.3716,60.37,88,34,3.0,10/23/22 22:35:59
TR,Talas,38.6908,35.5538,32.67,93,0,0.0,10/23/22 22:36:00
US,Bethel,41.3712,-73.414,57.38,68,100,6.91,10/23/22 22:33:26
RU,Igarka,67.4667,86.5833,26.42,89,100,17.94,10/23/22 22:36:04
BR,São Geraldo do Araguaia,-6.4006,-48.555,79.47,63,21,2.39,10/23/22 22:36:06
PT,Praia da Vitória,38.7333,-27.0667,61.05,94,40,14.47,10/23/22 22:36:08
ES,Los Llanos de Aridane,28.6585,-17.9182,64.15,72,0,6.91,10/23/22 22:36:10
NO,Stokmarknes,68.5646,14.9108,35.56,93,75,8.05,10/23/22 22:36:12
ID,Amuntai,-2.4177,115.2494,87.67,64,93,2.1,10/23/22 22:36:13
CA,Maniwaki,46.3834,-75.966,44.98,87,100,0.0,10/23/22 22:31:29
RU,Belaya Gora,68.5333,146.4167,5.38,84,37,4.07,10/23/22 22:36:17
PT,Ponta do Sol,32.6667,-17.1,70.43,65,100,7.02,10/23/22 22:36:18
RU,Shafranovo,53.9667,54.7667,34.03,69,97,12.66,10/23/22 22:36:20
BI,Muyinga Province,-2.8333,30.3333,59.05,78,91,0.13,10/23/22 22:36:22
GL,Upernavik,72.7868,-56.1549,21.06,75,36,4.94,10/23/22 22:36:25
ID,Nabire,-3.3667,135.4833,87.8,63,99,6.33,10/23/22 22:36:26
US,Rome,43.2128,-75.4557,57.72,66,0,4.61,10/23/22 22:35:03
ES,Cabra,37.4725,-4.4421,60.22,86,99,0.76,10/23/22 22:36:30
,Walvis Bay,-22.9575,14.5053,58.15,88,48,9.22,10/23/22 22:36:31
US,Hilo,19.7297,-155.09,78.53,82,75,5.75,10/23/22 22:32:08
VN,Tuy Hoa,13.0833,109.3,82.85,69,100,9.44,10/23/22 22:36:34
AU,Kununurra,-15.7667,128.7333,106.48,15,15,11.43,10/23/22 22:36:36
US,Morehead,37.2711,-87.1764,62.35,62,0,4.61,10/23/22 22:36:38
MX,Cabo San Lucas,22.8909,-109.9124,79.9,71,18,10.0,10/23/22 22:32:21
GL,Nuuk,64.1835,-51.7216,34.41,100,75,14.97,10/23/22 22:36:41
CA,Canmore,51.0834,-115.3521,29.68,99,51,2.3,10/23/22 22:33:25
RU,Tokur,53.1333,132.9,29.14,53,45,7.45,10/23/22 22:36:44
PH,Aloleng,16.1307,119.7824,86.7,65,78,3.06,10/23/22 22:36:46
MR,Atar,20.5169,-13.0499,82.27,17,0,4.97,10/23/22 22:33:11
AO,Mossamedes,-15.1961,12.1522,67.23,87,57,5.26,10/23/22 22:36:49
PG,Kiunga,-6.1219,141.2906,96.62,41,99,1.12,10/23/22 22:36:51
SO,Bandarbeyla,9.4942,50.8122,78.76,76,49,2.08,10/23/22 22:36:52
PG,Kimbe,-5.5502,150.1429,88.29,57,79,5.46,10/23/22 22:36:54
US,Roseburg,43.2165,-123.3417,50.11,76,0,0.0,10/23/22 22:33:09
CA,Prince Rupert,54.3161,-130.3201,50.09,84,100,37.98,10/23/22 22:36:57
RU,Leningradskiy,69.3833,178.4167,19.63,93,100,12.64,10/23/22 22:36:59
CL,Coquimbo,-29.9533,-71.3436,51.53,93,0,4.61,10/23/22 22:33:25
CA,Shaunavon,49.6501,-108.4181,28.18,95,100,16.6,10/23/22 22:37:02
CA,Chapais,49.7834,-74.8492,44.38,92,16,4.83,10/23/22 22:32:51
CN,Luoyang,34.6836,112.4536,72.48,32,90,6.13,10/23/22 22:37:05
AU,Codrington,-38.2667,141.9667,54.93,96,100,16.87,10/23/22 22:37:07
BR,Vila Velha,-20.3297,-40.2925,71.55,88,75,4.61,10/23/22 22:37:09
NO,Vardø,70.3705,31.1107,35.58,87,75,6.91,10/23/22 22:37:11
RU,Sheltozero,61.3667,35.3667,34.88,78,11,15.3,10/23/22 22:37:13
US,Moses Lake,47.1301,-119.2781,48.56,57,0,9.22,10/23/22 22:36:34
CL,Ancud,-41.8697,-73.8203,50.92,93,100,19.37,10/23/22 22:33:41
GB,Northam,51.0333,-4.2167,54.61,96,98,13.22,10/23/22 22:37:18
RU,Khatanga,71.9667,102.5,2.75,90,61,6.31,10/23/22 22:37:20
UG,Katakwi,1.8911,33.9661,67.8,69,3,3.36,10/23/22 22:37:21
DZ,Constantine,36.365,6.6147,56.61,50,0,2.3,10/23/22 22:37:15
CN,Aksu,41.1231,80.2644,58.42,26,100,3.27,10/23/22 22:37:25
BR,Castro,-24.7911,-50.0119,58.01,85,25,1.74,10/23/22 22:37:27
BR,Alta Floresta,-9.8756,-56.0861,71.87,95,77,1.66,10/23/22 22:37:29
RU,Yertarskiy,56.7902,64.2995,32.95,54,26,12.86,10/23/22 22:37:30
RU,Chokurdakh,70.6333,147.9167,-2.31,94,60,7.29,10/23/22 22:37:32
ID,Pangkalanbuun,-2.6833,111.6167,86.38,63,99,5.46,10/23/22 22:37:34
OM,Salalah,17.0151,54.0924,75.29,69,0,2.3,10/23/22 22:37:36
VN,Kwang Binh,17.4833,106.6,81.27,67,95,8.55,10/23/22 22:37:37
BR,Carauari,-4.8828,-66.8958,73.35,99,92,1.99,10/23/22 22:37:39
US,Palmer,42.1584,-72.3287,54.63,77,100,5.75,10/23/22 22:37:41
CN,Xichang,27.8964,102.2634,68.63,72,82,2.75,10/23/22 22:37:43
CL,Vallenar,-28.5708,-70.7581,62.64,48,0,1.74,10/23/22 22:37:44
RU,Urusha,54.05,122.9,35.31,46,94,4.97,10/23/22 22:37:46
FI,Rovaniemi,66.5,25.7167,29.61,80,40,8.05,10/23/22 22:37:48
SO,Bosaso,11.2842,49.1816,81.27,71,29,5.59,10/23/22 22:37:49
US,Broome,42.2506,-75.833,58.01,80,20,4.61,10/23/22 22:37:51
CA,La Tuque,47.4334,-72.7824,46.65,87,100,0.0,10/23/22 22:37:53
CN,Panzhihua,26.5851,101.7128,76.26,64,55,2.06,10/23/22 22:37:54
SA,Buraidah,26.326,43.975,61.25,17,0,9.46,10/23/22 22:37:56
GR,Palekastro,35.2,26.25,66.7,66,0,10.54,10/23/22 22:37:58
RU,Kamenka,51.3223,42.7678,42.66,91,100,12.28,10/23/22 22:38:00
CD,Mwene-Ditu,-7.0,23.45,64.94,83,53,3.85,10/23/22 22:38:02
IN,Kavaratti,10.5669,72.642,81.36,73,43,1.9,10/23/22 22:38:03
CL,Lebu,-37.6167,-73.65,47.68,87,99,8.39,10/23/22 22:38:06
FI,Kemijärvi,66.7131,27.4306,33.96,77,100,6.73,10/23/22 22:38:08
DK,Langå,56.3903,9.8949,54.72,97,100,14.05,10/23/22 22:38:09
PE,Puquio,-14.7,-74.1333,49.33,30,53,5.1,10/23/22 22:38:11
RU,Saskylakh,71.9167,114.0833,0.86,99,84,2.39,10/23/22 22:38:13
US,Saint Paul Harbor,57.79,-152.4072,44.11,42,0,6.91,10/23/22 22:38:14
IN,Paithan,19.4833,75.3833,75.94,48,0,3.85,10/23/22 22:38:17
NO,Andenes,69.3143,16.1194,35.58,80,75,12.66,10/23/22 22:38:19
CA,Sioux Lookout,50.1001,-91.917,53.67,82,20,6.91,10/23/22 22:38:20
KZ,Beyneu,45.3167,55.2,44.76,76,1,11.77,10/23/22 22:38:22
SZ,Nsoko,-27.0333,31.95,70.23,89,100,2.77,10/23/22 22:38:24
AR,Rawson,-43.3002,-65.1023,63.5,28,61,7.81,10/23/22 22:38:26
CA,Bonavista,48.6499,-53.1147,51.31,79,0,13.69,10/23/22 22:38:28
GB,Margate,51.3813,1.3862,58.3,86,69,8.99,10/23/22 22:38:30
SB,Honiara,-9.4333,159.95,82.98,79,99,4.16,10/23/22 22:38:31
JP,Katsuura,35.1333,140.3,58.01,83,100,20.13,10/23/22 22:38:33
MX,Bucerías,20.75,-105.3333,78.78,89,100,5.75,10/23/22 22:38:35
AR,Mar del Plata,-38.0023,-57.5575,56.88,90,0,15.99,10/23/22 22:38:37
SJ,Longyearbyen,78.2186,15.6401,22.84,74,75,8.05,10/23/22 22:38:38
IN,Port Blair,11.6667,92.75,86.04,74,75,16.11,10/23/22 22:38:40
KR,Seoul,37.5683,126.9778,58.39,39,0,13.8,10/23/22 22:37:19
AO,Menongue,-14.6585,17.691,62.67,84,84,3.53,10/23/22 22:38:43
CA,Channel-Port aux Basques,47.5702,-59.1367,51.94,81,94,7.02,10/23/22 22:38:45
RU,Verkhnevilyuysk,63.4453,120.3167,36.97,94,100,12.82,10/23/22 22:38:47
LR,Harper,4.375,-7.7169,76.64,88,100,6.85,10/23/22 22:38:49
US,Portland,45.5234,-122.6762,51.94,78,0,4.0,10/23/22 22:38:13
CN,Xinzhi,36.4989,111.7047,70.14,19,95,3.71,10/23/22 22:38:52
US,Fairbanks,64.8378,-147.7164,30.16,95,100,0.0,10/23/22 22:38:54
MU,Quatre Cocos,-20.2078,57.7625,74.08,74,57,11.07,10/23/22 22:38:55
TZ,Tingi,-11.3,35.0333,64.36,70,32,5.75,10/23/22 22:38:57
CN,Beijing,39.9075,116.3972,60.69,26,0,2.01,10/23/22 22:37:18
RU,Kaduy,59.2,37.15,33.3,82,24,7.9,10/23/22 22:39:00
CN,Mergen,49.1833,125.2167,43.07,30,0,5.68,10/23/22 22:39:02
RU,Tambovka,50.0969,128.0489,41.58,35,1,5.73,10/23/22 22:39:04
US,San Patricio,28.017,-97.5169,80.49,75,93,18.63,10/23/22 22:39:06
AU,Gawler,-34.6,138.7333,63.91,93,100,7.36,10/23/22 22:39:07
SD,Kutum,14.2,24.6667,70.25,28,93,16.73,10/23/22 22:39:09
MY,Kuching,1.55,110.3333,84.42,79,20,6.91,10/23/22 22:39:11
US,Freeport,40.6576,-73.5832,58.5,82,100,9.22,10/23/22 22:39:12
GF,Sinnamary,5.3833,-52.95,79.84,86,78,10.54,10/23/22 22:39:14
FR,Saint-François,46.4154,3.9054,58.44,82,0,4.61,10/23/22 22:39:16
NC,Tadine,-21.55,167.8833,73.94,71,100,19.69,10/23/22 22:39:18
IN,Rangāpāra,26.8167,92.65,73.0,79,100,9.24,10/23/22 22:39:20
TZ,Laela,-8.5667,32.05,63.46,59,74,2.28,10/23/22 22:39:22
ES,Altea,38.5989,-0.0514,68.2,69,76,3.51,10/23/22 22:39:23
BB,Bathsheba,13.2167,-59.5167,83.01,83,75,13.8,10/23/22 22:39:25
CN,Datong,40.0936,113.2914,58.44,16,0,5.5,10/23/22 22:39:27
RU,Esso,55.9333,158.7,23.18,92,49,1.16,10/23/22 22:39:28
IR,Pārsābād,39.6482,47.9174,44.92,93,0,6.91,10/23/22 22:39:30
AU,Geraldton,-28.7667,114.6,67.5,54,90,18.5,10/23/22 22:39:32
US,Ketchikan,55.3422,-131.6461,48.67,93,100,16.11,10/23/22 22:35:23
ID,Bengkulu,-3.8004,102.2655,80.55,81,81,5.44,10/23/22 22:39:35
PG,Lorengau,-2.0226,147.2712,86.43,56,93,6.51,10/23/22 22:39:36
MM,Dawei,14.0833,98.2,87.69,63,17,3.02,10/23/22 22:39:38
CV,Praia,14.9215,-23.5087,75.74,78,20,12.66,10/23/22 22:39:40
US,Fortuna,40.5982,-124.1573,53.65,86,0,6.91,10/23/22 22:38:37
PT,Lagoa,39.05,-27.9833,64.44,72,15,17.98,10/23/22 22:39:43
MY,Segamat,2.5148,102.8158,86.07,62,100,3.56,10/23/22 22:39:45
AR,Río Gallegos,-51.6226,-69.2181,51.85,50,40,10.36,10/23/22 22:39:47
AU,Victor Harbor,-35.5667,138.6167,61.68,89,100,8.79,10/23/22 22:39:49
RU,Gazimurskiy Zavod,51.5461,118.3266,45.5,37,31,10.11,10/23/22 22:39:50
AI,The Valley,18.217,-63.0578,82.26,76,6,12.91,10/23/22 22:39:52
PE,Pisco,-13.7,-76.2167,60.85,82,0,12.66,10/23/22 22:39:54
US,Hamilton,39.1834,-84.5333,63.45,63,20,4.61,10/23/22 22:35:37
US,Saint George,37.1041,-113.5841,46.99,55,0,5.75,10/23/22 22:39:57
RU,Chunskiy,56.0815,99.6342,35.74,64,99,12.91,10/23/22 22:39:59
IN,Alappuzha,9.49,76.3264,80.56,77,45,1.05,10/23/22 22:40:01
BR,Cidreira,-30.1811,-50.2056,56.89,86,2,4.97,10/23/22 22:40:02
ES,Teguise,29.0605,-13.564,64.62,83,0,8.05,10/23/22 22:40:04
