Country,City,Latitude,Long,Temperature(°F),Humidity %,Cloudiness %,Wind Speed(mph),Date
KM,Mitsamiouli,-11.3847,43.2844,77.29,73,20,8.05,10/23/22 22:40:06
CN,Hohhot,40.8106,111.6522,57.49,21,0,2.24,10/23/22 22:40:08
BR,Entre Rios,-11.9419,-38.0844,69.91,99,61,2.35,10/23/22 22:35:19
RU,Beringovskiy,63.05,179.3167,24.24,70,19,1.07,10/23/22 22:40:11
PW,Kloulklubed,7.0419,134.2556,83.55,79,76,17.65,10/23/22 22:40:13
RU,Severo-Kuril'sk,50.6789,156.125,39.88,72,61,8.37,10/23/22 22:40:15
US,Lompoc,34.6391,-120.4579,57.34,76,0,12.66,10/23/22 22:40:17
TM,Bereket,39.2446,55.5154,57.96,69,7,8.55,10/23/22 22:40:19
TW,Keelung,25.1283,121.7419,77.05,64,100,17.31,10/23/22 22:40:21
RU,Deputatsky,69.3,139.9,8.53,90,100,3.0,10/23/22 22:40:23
IR,Birjand,32.8663,59.2211,50.47,32,0,9.22,10/23/22 22:40:25
TD,Bokoro,12.3807,17.0568,83.25,43,92,4.0,10/23/22 22:40:26
CA,Haines Junction,60.7522,-137.5108,30.15,69,100,12.66,10/23/22 22:40:28
MX,Puerto Escondido,15.85,-97.0667,80.2,86,77,5.41,10/23/22 22:40:30
CA,Clyde River,70.4692,-68.5914,25.03,93,100,9.22,10/23/22 22:40:32
RU,Talnakh,69.4865,88.3972,24.21,96,99,8.61,10/23/22 22:40:33
RU,Vagay,57.9375,69.0217,31.57,64,100,13.02,10/23/22 22:40:35
US,Makakilo City,21.3469,-158.0858,82.72,63,20,14.97,10/23/22 22:40:37
RU,Agirish,61.9247,63.0231,33.93,77,100,13.58,10/23/22 22:40:38
NZ,Dargaville,-35.9333,173.8833,62.24,65,27,9.89,10/23/22 22:40:40
US,College,64.8569,-147.8028,30.15,95,75,0.0,10/23/22 22:40:42
BR,Touros,-5.1989,-35.4608,77.49,81,14,11.5,10/23/22 22:40:43
CN,Luancheng,37.8792,114.6517,62.76,22,0,2.21,10/23/22 22:40:45
UY,Chui,-33.6971,-53.4616,55.31,93,24,5.23,10/23/22 22:40:47
NO,Roald,62.5833,6.1333,49.75,87,20,4.61,10/23/22 22:40:48
BR,Porto Belo,-27.1578,-48.5531,67.78,86,88,3.18,10/23/22 22:40:50
LY,Ubari,26.5921,12.7805,58.32,36,0,5.73,10/23/22 22:40:52
BR,Prainha,-1.8,-53.48,79.16,75,67,4.16,10/23/22 22:40:53
PT,Vila Franca do Campo,37.7167,-25.4333,63.01,74,66,16.75,10/23/22 22:40:55
SS,Kapoeta,4.7717,33.5903,76.71,60,10,7.9,10/23/22 22:40:57
BR,Boa Vista,2.8197,-60.6733,82.38,78,40,2.3,10/23/22 22:40:58
US,Hopkinsville,36.8656,-87.4886,66.24,69,29,8.9,10/23/22 22:41:00
BR,Barreiras,-12.1528,-44.99,70.0,92,76,3.38,10/23/22 22:40:16
US,Price,39.5994,-110.8107,37.11,55,0,13.8,10/23/22 22:41:04
SL,Bonthe,7.5264,-12.505,76.89,85,84,2.62,10/23/22 22:41:05
BR,Belmonte,-15.8631,-38.8828,73.76,90,70,4.99,10/23/22 22:41:07
IN,Konch,25.9833,79.15,77.56,42,0,5.75,10/23/22 22:41:09
FO,Klaksvík,62.2266,-6.589,47.32,88,100,20.51,10/23/22 22:41:10
VN,Cao Bang,22.6667,106.25,85.24,44,54,3.91,10/23/22 22:41:12
AU,Sydney,-33.8679,151.2073,69.28,91,75,8.05,10/23/22 22:39:41
BJ,Porto-Novo,6.4965,2.6036,76.82,90,91,2.37,10/23/22 22:36:25
ES,Puerto del Rosario,28.5004,-13.8627,71.35,83,75,8.05,10/23/22 22:41:17
IS,Hofn,64.2539,-15.2082,40.21,79,100,9.84,10/23/22 22:41:19
AO,Luanda,-8.8368,13.2343,74.91,88,98,6.2,10/23/22 22:41:20
BR,Morros,-9.4467,-46.3003,74.62,71,73,2.35,10/23/22 22:41:22
UG,Sironko,1.2313,34.2477,65.16,71,5,4.43,10/23/22 22:41:24
US,Zephyrhills,28.2336,-82.1812,70.18,80,0,3.44,10/23/22 22:41:25
ZA,Richards Bay,-28.783,32.0377,70.29,92,100,2.13,10/23/22 22:41:27
IN,Tura,25.5198,90.2201,69.4,94,100,2.3,10/23/22 22:41:29
ER,Edd,13.9297,41.6925,86.4,47,1,10.4,10/23/22 22:41:30
SK,Čadca,49.435,18.789,52.77,95,100,4.27,10/23/22 22:41:32
AU,Port Macquarie,-31.4333,152.9167,67.89,94,100,3.11,10/23/22 22:41:34
RU,Usinsk,65.9939,57.5281,29.61,97,99,13.18,10/23/22 22:41:36
RU,Tazovsky,67.4667,78.7,25.14,90,84,10.92,10/23/22 22:41:37
ID,Meulaboh,4.1363,96.1285,84.76,67,99,6.55,10/23/22 22:41:39
CO,Padilla,3.2204,-76.3139,72.97,96,100,0.87,10/23/22 22:41:41
AU,Gold Coast,-28.0,153.4333,88.25,61,40,10.36,10/23/22 22:36:54
US,Fulton,33.7668,-84.4499,57.94,69,0,0.0,10/23/22 22:38:00
RU,Muzhi,65.3667,64.6667,30.0,83,49,7.07,10/23/22 22:41:46
TD,Umm Hājar,13.2954,19.6966,83.82,21,90,10.85,10/23/22 22:41:47
NP,Dhangadhi,28.7079,80.5961,78.21,42,0,1.66,10/23/22 22:41:49
IN,Jejūri,18.2833,74.1667,73.18,50,0,2.51,10/23/22 22:41:51
JP,Kushima,31.4583,131.2333,72.91,39,13,8.95,10/23/22 22:41:52
AU,Flinders,-34.5833,150.8552,66.38,94,100,7.0,10/23/22 22:41:54
IN,Tandur,17.2333,77.5833,74.5,60,1,6.46,10/23/22 22:41:56
PG,Port Moresby,-9.4431,147.1797,89.02,62,20,17.27,10/23/22 22:41:57
IN,Yārāda,17.65,83.2667,82.72,57,40,4.61,10/23/22 22:41:59
CN,Wanning,18.8003,110.3967,76.91,92,91,12.41,10/23/22 22:42:01
EG,Assiut,27.181,31.1837,60.98,59,0,5.66,10/23/22 22:42:02
MU,Mahébourg,-20.4081,57.7,74.25,88,75,3.44,10/23/22 22:42:04
CV,São Filipe,14.8961,-24.4956,78.06,72,0,3.76,10/23/22 22:42:06
US,Miles City,46.4083,-105.8406,34.77,86,100,19.57,10/23/22 22:42:08
CN,Huadian,42.9633,126.7478,43.63,42,20,3.47,10/23/22 22:42:10
BR,Barra dos Coqueiros,-10.9089,-37.0386,77.02,88,20,8.05,10/23/22 22:42:11
GW,Bubaque,11.2833,-15.8333,81.77,72,100,6.78,10/23/22 22:42:13
RU,Batagay,67.6333,134.6333,8.44,84,96,6.6,10/23/22 22:42:15
PF,Fare,-16.7,-151.0167,79.29,73,26,8.05,10/23/22 22:42:17
SB,Gizo Government Station,-8.103,156.8419,83.7,69,96,5.17,10/23/22 22:42:18
PH,San Policarpo,12.1791,125.5072,82.15,84,100,6.35,10/23/22 22:42:20
BD,Teknāf,20.8624,92.3058,77.45,89,100,25.86,10/23/22 22:42:22
RO,Asău,46.4333,26.4,36.52,91,16,5.88,10/23/22 22:42:24
LK,Galle,6.0367,80.217,79.83,82,99,10.09,10/23/22 22:42:25
GB,Stornoway,58.2093,-6.3865,53.92,97,75,8.05,10/23/22 22:42:27
IT,Mortara,45.2473,8.7355,64.06,96,100,0.98,10/23/22 22:42:29
PF,Tautira,-17.7333,-149.15,78.42,77,23,10.85,10/23/22 22:42:30
US,Douglas,41.3,-96.167,78.31,55,0,25.32,10/23/22 22:41:27
CA,Halifax,44.6453,-63.5724,55.4,83,100,5.75,10/23/22 22:40:58
IR,Neyshabur,36.2133,58.7958,62.4,41,2,0.78,10/23/22 22:42:35
RU,Ostrovnoy,68.0531,39.5131,38.37,64,100,25.01,10/23/22 22:42:37
AU,Cairns,-16.9167,145.7667,101.07,71,0,10.36,10/23/22 22:42:38
NC,Noumea,-22.2763,166.4572,82.38,65,100,14.16,10/23/22 22:38:22
AO,Lucapa,-8.4192,20.7447,65.75,95,99,2.53,10/23/22 22:42:42
MZ,Angoche,-16.2325,39.9086,73.58,85,39,11.05,10/23/22 22:42:43
RU,Bilibino,68.0546,166.4372,-2.65,100,98,2.59,10/23/22 22:42:45
PL,Mrągowo,53.8644,21.3051,51.8,97,94,5.93,10/23/22 22:42:46
LR,Buchanan,5.8808,-10.0467,75.56,90,99,2.89,10/23/22 22:42:48
NU,Alofi,-19.0595,-169.9187,75.09,83,100,12.66,10/23/22 22:42:50
NO,Båtsfjord,70.6345,29.7185,35.38,86,100,14.97,10/23/22 22:42:52
US,Juneau,58.3019,-134.4197,38.21,100,40,0.0,10/23/22 22:40:21
RU,Zhigansk,66.7697,123.3711,22.71,93,100,35.84,10/23/22 22:42:55
AU,Ulladulla,-35.35,150.4667,63.5,97,100,13.22,10/23/22 22:42:57
CD,Beni,0.5,29.4667,60.28,97,100,1.25,10/23/22 22:42:59
CN,Weihe,32.9952,105.3247,55.17,97,100,3.44,10/23/22 22:43:00
MA,Tiznit Province,29.5833,-9.5,73.62,14,93,12.71,10/23/22 22:43:02
CN,Hailar,49.2,119.7,46.78,30,37,12.68,10/23/22 22:43:04
CA,Langham,52.3668,-106.9679,31.84,94,100,10.76,10/23/22 22:43:06
RU,Tynda,55.1667,124.7167,33.62,57,100,8.48,10/23/22 22:43:07
PG,Kavieng,-2.5744,150.7967,84.96,65,68,4.41,10/23/22 22:43:09
US,Nome,64.5011,-165.4064,37.47,81,100,16.11,10/23/22 22:43:11
MX,Nuevo Progreso,23.1667,-97.95,79.47,71,100,3.0,10/23/22 22:43:12
UA,Mynay,48.5833,22.2833,55.58,86,100,6.35,10/23/22 22:43:14
MX,Nuevo Casas Grandes,30.4167,-107.9167,65.75,43,49,11.01,10/23/22 22:43:16
ZW,Hwange,-18.3693,26.5019,75.04,45,80,2.48,10/23/22 22:43:18
VU,Sola,-13.8833,167.55,81.27,89,100,2.3,10/23/22 22:43:19
DO,Samaná,19.2056,-69.3369,76.71,89,39,5.91,10/23/22 22:43:21
JP,Muroto-misakicho,33.2833,134.15,65.79,60,56,3.49,10/23/22 22:43:23
AU,Esperance,-33.8667,121.9,59.18,71,100,20.11,10/23/22 22:43:24
US,Pacific Grove,36.6177,-121.9166,60.12,76,0,15.99,10/23/22 22:41:04
US,New Port Richey,28.2442,-82.7193,70.97,81,3,1.99,10/23/22 22:42:36
MX,Acapulco de Juárez,16.8634,-99.8901,82.22,78,40,8.05,10/23/22 22:38:35
GL,Ilulissat,69.2167,-51.1,30.22,86,75,1.14,10/23/22 22:43:30
KH,Lumphat,13.4878,106.9816,86.05,70,50,0.67,10/23/22 22:43:32
VN,Quang Ngai,15.1167,108.8,83.97,67,61,10.29,10/23/22 22:43:34
CN,Xiongyue,40.1774,122.1228,54.21,41,34,4.65,10/23/22 22:43:36
FR,Arrondissement de Tarbes,43.25,0.1667,62.71,72,100,2.3,10/23/22 22:43:38
VE,Puerto Ayacucho,5.6639,-67.6236,75.69,93,100,2.84,10/23/22 22:43:39
RU,Konstantinovka,49.6167,127.9833,42.73,34,0,4.99,10/23/22 22:43:41
PE,Hualmay,-11.0964,-77.6139,61.43,83,85,9.46,10/23/22 22:43:43
AU,Port Augusta,-32.5,137.7667,64.0,69,100,11.03,10/23/22 22:43:44
GB,Lerwick,60.1545,-1.1494,51.8,93,100,17.05,10/23/22 22:43:46
US,Elizabeth City,36.2946,-76.2511,60.82,94,100,13.8,10/23/22 22:38:49
MX,Ixtapa,20.7,-105.2,78.03,89,100,5.75,10/23/22 22:43:49
SO,Oddur,4.1213,43.8894,72.59,77,31,8.48,10/23/22 22:43:51
BR,Juquitiba,-23.9317,-47.0683,67.37,98,34,2.82,10/23/22 22:43:52
JP,Kadoma,34.7333,135.5833,70.65,48,75,5.75,10/23/22 22:43:54
RU,Mil'kovo,54.7167,158.6167,33.76,51,66,0.85,10/23/22 22:43:56
MA,Marrakesh,31.6315,-8.0083,64.47,59,0,5.75,10/23/22 22:43:57
CL,Taltal,-25.4,-70.4833,59.18,78,3,3.36,10/23/22 22:43:59
RU,Gari,59.4307,62.3497,34.2,76,100,16.26,10/23/22 22:44:01
CA,High Level,58.5169,-117.136,26.71,100,100,12.66,10/23/22 22:44:02
MG,Antalaha,-14.9003,50.2788,73.26,71,19,3.89,10/23/22 22:44:04
BR,Diamantino,-14.4086,-56.4461,73.94,85,99,2.91,10/23/22 22:44:06
ET,Dembī Dolo,8.5333,34.8,54.63,92,9,4.68,10/23/22 22:44:08
NP,Bāglung,28.2719,83.5898,74.68,33,0,1.05,10/23/22 22:44:09
US,Bolivar,37.6145,-93.4105,72.95,64,97,3.0,10/23/22 22:44:11
CA,Albanel,48.8832,-72.4487,50.14,93,100,2.3,10/23/22 22:44:13
CA,Fort Nelson,58.8053,-122.7002,29.95,85,100,5.75,10/23/22 22:44:15
IR,Khorramshahr,30.4397,48.1664,69.76,100,5,2.3,10/23/22 22:44:16
PG,Kieta,-6.2167,155.6333,82.98,78,77,3.6,10/23/22 22:44:18
IT,Tricase,39.9304,18.3553,72.32,68,0,2.93,10/23/22 22:44:20
KE,Mariakani,-3.8633,39.4736,73.49,86,89,4.36,10/23/22 22:44:22
RU,Chul'man,56.8479,124.9104,27.01,79,100,10.71,10/23/22 22:44:23
NO,Karasjok,69.4719,25.5112,27.86,96,76,2.42,10/23/22 22:44:25
TH,Ranong,9.9658,98.6348,85.93,70,72,3.67,10/23/22 22:44:27
CF,Bimbo,4.2567,18.4158,73.33,94,40,3.44,10/23/22 22:44:28
GL,Qaqortoq,60.7167,-46.0333,33.66,99,100,5.61,10/23/22 22:44:30
ID,Padang,-0.9492,100.3543,84.25,74,96,5.06,10/23/22 22:44:32
GH,Takoradze,4.8845,-1.7554,76.62,90,31,4.23,10/23/22 22:44:33
JP,Hasaki,35.7333,140.8333,56.21,71,100,21.79,10/23/22 22:44:35
GB,Hastings,50.8552,0.5729,59.29,85,66,33.06,10/23/22 22:43:19
MU,Cap Malheureux,-19.9842,57.6142,74.46,72,33,5.01,10/23/22 22:44:38
CA,Hay River,60.8156,-115.7999,26.58,80,75,6.91,10/23/22 22:44:40
IT,Tempio Pausania,40.8974,9.1035,49.12,45,77,4.61,10/23/22 22:44:42
BR,São Raimundo das Mangabeiras,-7.0219,-45.4811,76.75,68,5,1.57,10/23/22 22:44:43
GH,Obuasi,6.206,-1.6619,70.32,99,84,1.5,10/23/22 22:44:45
TZ,Mgandu,-5.95,34.1333,62.02,80,61,6.76,10/23/22 22:44:47
AU,Roebourne,-20.7833,117.1333,88.23,27,61,13.42,10/23/22 22:44:48
BR,Natal,-5.795,-35.2094,77.22,83,40,6.91,10/23/22 22:44:12
KZ,Semey,50.4111,80.2275,37.62,56,100,6.71,10/23/22 22:44:51
CA,Sainte-Martine,45.2501,-73.7992,55.94,77,100,1.14,10/23/22 22:44:53
BR,Lábrea,-7.2586,-64.7981,73.69,98,94,2.53,10/23/22 22:44:55
ID,Kabanjahe,3.1001,98.4908,71.85,77,100,2.95,10/23/22 22:44:56
JM,Kingston,17.997,-76.7936,77.95,83,20,10.36,10/23/22 22:44:15
NC,Vao,-22.6667,167.4833,72.66,75,100,21.74,10/23/22 22:44:59
RU,Aykhal,66.0,111.5,27.64,96,100,16.73,10/23/22 22:45:01
RU,Ust'-Omchug,61.15,149.6333,6.04,88,93,2.53,10/23/22 22:45:03
AU,Broken Hill,-31.95,141.4333,68.2,55,72,17.43,10/23/22 22:45:05
NE,Ayorou,14.7308,0.9174,79.36,19,1,9.4,10/23/22 22:45:07
RU,Dudinka,69.4058,86.1778,24.62,96,100,11.97,10/23/22 22:45:08
IN,Māngrol,21.1167,70.1167,83.21,46,0,4.38,10/23/22 22:45:10
RU,Batagay-Alyta,67.8006,130.4114,11.91,90,100,4.25,10/23/22 22:45:12
SO,Oodweyne,9.4092,45.064,71.35,70,99,3.8,10/23/22 22:45:14
AR,Comodoro Rivadavia,-45.8667,-67.5,64.26,34,0,25.32,10/23/22 22:45:15
RU,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,36,0,11.18,10/23/22 22:43:06
BR,Pauini,-7.7136,-66.9764,72.7,98,99,1.32,10/23/22 22:45:19
UA,Kyrylivka,46.3759,35.3675,51.94,83,74,17.69,10/23/22 22:45:20
CD,Lusambo,-4.9667,23.45,68.43,98,69,0.2,10/23/22 22:45:22
ML,Goundam,16.4145,-3.6708,80.53,15,81,10.54,10/23/22 22:45:24
TZ,Mpanda,-6.3655,31.0409,67.05,37,100,2.68,10/23/22 22:45:25
RU,Lakhdenpokh'ya,61.5198,30.1992,34.52,78,6,10.36,10/23/22 22:45:27
UG,Kitgum,3.2783,32.8867,67.77,76,2,2.84,10/23/22 22:45:29
MR,Nouadhibou,20.931,-17.0347,69.58,87,6,14.85,10/23/22 22:45:30
SE,Kalmar,56.6616,16.3616,48.13,99,100,3.44,10/23/22 22:45:32
RU,Mirny,62.5353,113.9611,30.96,75,98,22.5,10/23/22 22:45:34
VE,Caraballeda,10.6112,-66.8522,80.67,78,20,1.14,10/23/22 22:45:35
US,‘Āhuimanu,21.4447,-157.8378,83.91,72,20,14.97,10/23/22 22:45:37
CN,Dingzhou,38.5131,114.9956,62.71,23,0,2.68,10/23/22 22:45:39
SA,Sakakah,29.9697,40.2064,69.37,39,13,5.46,10/23/22 22:45:41
CN,Guangyuan,32.442,105.823,62.4,91,100,1.3,10/23/22 22:45:42
NO,Sørland,67.667,12.6934,39.06,58,100,9.95,10/23/22 22:45:44
US,West Wendover,40.7391,-114.0733,38.41,38,0,9.22,10/23/22 22:45:46
JP,Tateyama,34.9833,139.8667,62.1,78,100,19.48,10/23/22 22:45:47
UZ,Yangi Marg`ilon,40.4272,71.7189,50.72,87,40,2.3,10/23/22 22:45:49
RU,Karpogory,64.0019,44.4451,31.39,85,99,9.44,10/23/22 22:45:51
LK,Matara,5.9485,80.5353,82.13,74,100,11.86,10/23/22 22:45:52
AO,Soyo,-6.1349,12.3689,76.5,90,95,6.96,10/23/22 22:45:54
GL,Qasigiannguit,68.8193,-51.1922,30.45,91,100,6.73,10/23/22 22:45:56
MV,Muli,2.9167,73.5667,82.0,79,57,13.82,10/23/22 22:45:57
BR,Formosa do Rio Preto,-11.0483,-45.1931,73.98,70,68,4.47,10/23/22 22:45:59
PE,Pucara,-15.9803,-71.4606,32.13,18,83,4.9,10/23/22 22:46:01
UY,Rocha,-34.4833,-54.3333,51.73,97,19,3.85,10/23/22 22:46:03
RO,Răcari,44.6333,25.7333,51.28,75,3,3.71,10/23/22 22:46:04
RU,Solnechnyy,50.7214,136.6319,40.98,43,38,2.98,10/23/22 22:46:06
MG,Beloha,-25.1667,45.05,74.59,66,1,6.13,10/23/22 22:46:08
AR,Formosa,-26.1775,-58.1781,69.78,83,0,5.75,10/23/22 22:42:43
GB,Brae,60.3964,-1.353,52.88,94,100,14.61,10/23/22 22:46:11
IS,Olafsvik,64.8945,-23.7142,42.85,79,100,13.0,10/23/22 22:46:13
PL,Zambrów,52.9855,22.2432,48.52,96,94,5.64,10/23/22 22:46:15
RU,Kuril'sk,45.2333,147.8833,44.94,70,100,11.12,10/23/22 22:46:17
RU,Verkhoyansk,67.5447,133.385,11.01,87,97,3.94,10/23/22 22:46:19
BR,Santa Maria,-29.6842,-53.8069,58.3,77,0,8.05,10/23/22 22:46:20
SO,Kismayo,-0.3582,42.5454,79.29,73,76,10.38,10/23/22 22:46:22
MX,San Miguel de Cozumel,20.5083,-86.9458,78.69,77,2,10.56,10/23/22 22:45:44
RU,Gayny,60.3071,54.3241,35.28,97,100,13.15,10/23/22 22:46:25
RU,Kyren,51.6828,102.1408,36.75,92,100,8.14,10/23/22 22:46:27
ML,Tombouctou,20.0,-3.0,77.25,17,100,12.33,10/23/22 22:46:29
RU,Evensk,61.95,159.2333,16.23,77,76,8.12,10/23/22 22:46:30
PT,Ponta Delgada,37.7333,-25.6667,63.32,77,20,5.75,10/23/22 22:46:32
KZ,Līsakovsk,52.5369,62.4936,24.69,80,11,8.14,10/23/22 22:46:34
RU,Srednekolymsk,67.45,153.6833,2.28,92,95,3.11,10/23/22 22:46:35
ID,Muncar,-8.4333,114.3333,86.25,70,96,7.83,10/23/22 22:46:37
PH,Dicabisagan,17.0818,122.4157,85.87,67,100,7.63,10/23/22 22:46:39
PH,Tinampo,13.2303,123.5094,92.71,49,74,2.71,10/23/22 22:46:40
MZ,Chimoio,-19.1164,33.4833,66.63,84,8,0.63,10/23/22 22:46:42
OM,Sur,22.5667,59.5289,82.99,34,0,5.95,10/23/22 22:46:44
SO,Eyl,7.9803,49.8164,78.55,77,34,0.6,10/23/22 22:46:45
AU,Narrabri,-30.3167,149.7833,80.53,58,17,3.0,10/23/22 22:46:47
VU,Isangel,-19.55,169.2667,77.11,88,100,13.8,10/23/22 22:46:49
AU,Katherine,-14.4667,132.2667,102.43,25,60,11.16,10/23/22 22:46:51
KE,Taveta,-3.3963,37.6736,68.27,83,80,3.49,10/23/22 22:46:52
NZ,Otane,-39.8833,176.6333,66.0,57,77,9.08,10/23/22 22:46:54
JP,Shimoda,34.6667,138.95,61.16,79,92,18.12,10/23/22 22:46:52
EG,Maţāy,28.419,30.7792,65.25,75,0,8.77,10/23/22 22:46:57
RU,Kholmogory,64.2229,41.656,34.84,97,97,9.35,10/23/22 22:46:59
RU,Safonovo,55.15,33.2167,42.91,89,100,8.97,10/23/22 22:47:00
ET,Korem,12.5058,39.5228,53.71,67,1,2.08,10/23/22 22:47:02
TM,Murgab,37.4966,61.9714,51.67,82,75,9.22,10/23/22 22:47:04
RU,Rudnichnyy,59.617,52.4703,34.72,97,100,13.73,10/23/22 22:47:05
AU,Port Lincoln,-34.7333,135.8667,61.0,81,92,15.59,10/23/22 22:47:07
MN,Darhan,49.4867,105.9228,50.95,32,45,10.22,10/23/22 22:47:09
RE,Saint-Joseph,-21.3667,55.6167,72.1,73,23,3.22,10/23/22 22:47:10
WS,Lufilufi,-13.8745,-171.5986,80.38,82,83,16.6,10/23/22 22:47:12
IN,Nongpoh,25.9,91.8833,71.17,95,100,7.29,10/23/22 22:47:14
ZA,Port Elizabeth,-33.918,25.5701,64.69,94,100,6.91,10/23/22 22:47:15
MX,San Quintín,30.4833,-115.95,63.45,67,0,9.06,10/23/22 22:47:17
CN,Korla,41.7597,86.1469,59.9,28,100,9.64,10/23/22 22:47:19
RU,Amazar,53.858,120.875,36.5,51,100,4.23,10/23/22 22:47:21
LT,Kelmė,55.6339,22.9342,46.42,95,100,3.29,10/23/22 22:47:22
NE,Arlit,18.7369,7.3853,75.02,25,0,8.5,10/23/22 22:47:24
CN,Lanzhou,36.0564,103.7922,62.35,52,74,2.98,10/23/22 22:47:24
JP,Fukuechō,32.6881,128.8419,66.56,37,20,17.27,10/23/22 22:47:27
US,Havelock,34.8791,-76.9013,61.0,91,100,10.36,10/23/22 22:47:29
GL,Nanortalik,60.1432,-45.2371,35.53,99,100,16.28,10/23/22 22:47:31
CD,Manono,-7.3,27.4167,69.84,74,48,0.94,10/23/22 22:47:32
PG,Wewak,-3.5534,143.6268,83.26,73,98,4.99,10/23/22 22:47:34
MM,Lashio,22.9333,97.75,81.48,52,30,2.8,10/23/22 22:47:36
RU,Palana,59.1167,159.9667,27.7,72,38,5.61,10/23/22 22:47:37
ID,Trenggalek,-8.05,111.7167,85.89,70,96,5.79,10/23/22 22:47:39
CN,Xining,36.6167,101.7667,53.35,53,87,2.64,10/23/22 22:47:41
ID,Sabang,5.8933,95.3214,81.63,77,99,13.53,10/23/22 22:47:43
GF,Grand-Santi,4.25,-54.3833,74.3,95,88,2.75,10/23/22 22:47:44
MX,Zacatecas,23.0,-103.0,55.49,93,100,7.02,10/23/22 22:47:10
CL,Tocopilla,-22.092,-70.1979,62.37,66,10,5.86,10/23/22 22:47:47
IR,Sīrjān,29.452,55.6814,64.54,24,0,2.28,10/23/22 22:47:49
ML,Taoudenni,22.6783,-3.9836,77.61,18,78,10.74,10/23/22 22:47:51
IN,Saiha,22.4833,92.9667,69.71,97,100,2.13,10/23/22 22:47:53
ID,Sampit,-2.5333,112.95,87.17,62,100,5.44,10/23/22 22:47:54
CA,Port-Cartier,50.0334,-66.8654,44.28,89,90,3.11,10/23/22 22:47:56
IN,Murshidābād,24.1833,88.2667,79.16,68,99,14.34,10/23/22 22:47:58
